# Time,Step,PotEng
1.704000000000000000e+05,1.704000000000000000e+06,-9.334998199999999997e+03
1.706000000000000000e+05,1.706000000000000000e+06,-9.345607099999999264e+03
1.708000000000000000e+05,1.708000000000000000e+06,-9.354643599999999424e+03
1.710000000000000000e+05,1.710000000000000000e+06,-9.349356700000000274e+03
1.712000000000000000e+05,1.712000000000000000e+06,-9.341615200000000186e+03
1.714000000000000000e+05,1.714000000000000000e+06,-9.341693600000000515e+03
1.716000000000000000e+05,1.716000000000000000e+06,-9.361080099999999220e+03
1.718000000000000000e+05,1.718000000000000000e+06,-9.345309400000000096e+03
1.720000000000000000e+05,1.720000000000000000e+06,-9.349203700000000026e+03
1.722000000000000000e+05,1.722000000000000000e+06,-9.346704299999999421e+03
1.724000000000000000e+05,1.724000000000000000e+06,-9.352187900000000809e+03
1.726000000000000000e+05,1.726000000000000000e+06,-9.352540699999999561e+03
1.728000000000000000e+05,1.728000000000000000e+06,-9.357659200000000055e+03
1.730000000000000000e+05,1.730000000000000000e+06,-9.342299699999999575e+03
1.732000000000000000e+05,1.732000000000000000e+06,-9.349018500000000131e+03
1.734000000000000000e+05,1.734000000000000000e+06,-9.357235000000000582e+03
1.736000000000000000e+05,1.736000000000000000e+06,-9.349781399999999849e+03
1.738000000000000000e+05,1.738000000000000000e+06,-9.341856599999999162e+03
1.740000000000000000e+05,1.740000000000000000e+06,-9.355551799999999275e+03
1.742000000000000000e+05,1.742000000000000000e+06,-9.346817699999999604e+03
1.744000000000000000e+05,1.744000000000000000e+06,-9.346395899999999529e+03
1.746000000000000000e+05,1.746000000000000000e+06,-9.346688099999999395e+03
1.748000000000000000e+05,1.748000000000000000e+06,-9.348990299999999479e+03
1.750000000000000000e+05,1.750000000000000000e+06,-9.362061700000000201e+03
1.752000000000000000e+05,1.752000000000000000e+06,-9.344920400000000882e+03
1.754000000000000000e+05,1.754000000000000000e+06,-9.352120699999999488e+03
1.756000000000000000e+05,1.756000000000000000e+06,-9.355187900000000809e+03
1.758000000000000000e+05,1.758000000000000000e+06,-9.347575500000000829e+03
1.760000000000000000e+05,1.760000000000000000e+06,-9.347867899999999281e+03
1.762000000000000000e+05,1.762000000000000000e+06,-9.365950199999999313e+03
1.764000000000000000e+05,1.764000000000000000e+06,-9.349780099999999948e+03
1.766000000000000000e+05,1.766000000000000000e+06,-9.345710100000000239e+03
1.768000000000000000e+05,1.768000000000000000e+06,-9.360697299999999814e+03
1.770000000000000000e+05,1.770000000000000000e+06,-9.361660900000000765e+03
1.772000000000000000e+05,1.772000000000000000e+06,-9.348478300000000672e+03
1.774000000000000000e+05,1.774000000000000000e+06,-9.345211400000000140e+03
1.776000000000000000e+05,1.776000000000000000e+06,-9.348136599999999817e+03
1.778000000000000000e+05,1.778000000000000000e+06,-9.353780399999999645e+03
1.780000000000000000e+05,1.780000000000000000e+06,-9.343761899999999514e+03
1.782000000000000000e+05,1.782000000000000000e+06,-9.347211699999999837e+03
1.784000000000000000e+05,1.784000000000000000e+06,-9.359393299999999726e+03
